lp,trial_type,n,mean_prop,sd_prop,mean_vocab_comp,sd_vocab_comp
Monolingual,Non-cognate,4,0.493992504409171,0.0758173120885091,-0.261450271871253,1.49631725669664
Monolingual,Cognate,4,0.504398148148148,0.141799547898718,-0.261450271871253,1.49631725669664
Monolingual,Unrelated,4,0.419830565758596,0.149199762209931,-0.261450271871253,1.49631725669664
Bilingual,Non-cognate,3,0.407914462081129,0.126293909512044,-0.371263058172634,0.777312245998644
Bilingual,Cognate,3,0.514857177438877,0.032580025868157,-0.371263058172634,0.777312245998644
Bilingual,Unrelated,3,0.519393004115226,0.108242321928932,-0.371263058172634,0.777312245998644
