,55877,55867,54815,54866,54816,59385,58530_2,58176_2,58310_2,58120,58139,58725,58298_2,58137_2,58088_2,58420,58265,58124,57815,58329,58737,57908_2,58547,57919_2,57725_3,57885_2,58262_2,57902_2,57914_2,58256,58298,57742_3,58299,58146,58190_2,58720,58068,58165,58176,58093,58172,58335,58394,58435,58550,58681,58262,58328_2,58049_3,57552_3,58530,58088,58046,57914,58012,58860,57462_2,57908,57919,57534_3,57613_3,57480_2,58310,58372,57741,57369,57725,57885,57293_3,57240_2,57337_2,57227_2,57336_2,57839_3,57274_3,58049_2,57742_2,57569_2,57050_3,57092_3,57666_2,57157_3,56984_2,56995_3,56937_3,57552_2,56911_3,57534_2,57537_2,57293_2,57241_2,57684,57839_2,58049,57660,57427_2,58233,57274_2,57666,57250_2,57569,57613,57575,56528_2
cat_formatge,,,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1
cat_boto,1,,,,1,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,1,1,,1,,,,1,1,1,1,,,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,1,1,,1,1,1,1,,1,,,1,1,,,,,1
cat_ulleres,1,,1,1,1,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1
cat_gat,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1
cat_gos,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cat_mono,,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,,1,1,1,1,1,,1,1,,1,1,1,1,,1,1,1,,,,1,1,1,1
cat_pa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cat_moto,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1
cat_mitjo,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1
cat_avio,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,,1
cat_granota,,,1,,1,1,,1,1,,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,1,1,,,,1,1,,1,,,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1
cat_ovella,,1,1,,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,1,1,,1,,1,1,1,1,1,,1,1,,1,1,,1,1,,1
cat_ocell,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1
cat_peix1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1
cat_platan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cat_pilota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cat_poma,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1
cat_guitarra,1,,1,,1,,,,1,,,1,1,1,,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,,,,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,,,,,1,,1
cat_maduixa,1,,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,,1
cat_amanida,,,,,1,,,,1,1,,1,,1,,1,,1,1,,,1,,1,,1,,1,,,,,,,1,,1,,,1,,,1,,,1,,1,,,,,,1,,,1,1,,1,,1,,1,1,1,,1,1,,1,1,,,1,,,,,,,,,1,1,,1,1,,1,1,1,,,,1,,,,,1,,,
cat_aixeta,1,,,,1,1,,,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,,1,1,1,,1,,,,,,,1,,1,1,,,,1,1,1,1,,,,1,1,,1,,,1,1,1,,,,1,,,1,,,1,,1,1,1,,1,,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,,,1,,1
cat_abella,,,1,,1,,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,,1,1,,1,,,,1,1,1,1,,,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,1,,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,1
cat_berenar,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,1,1,1,1,1,1,,,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1
cat_bici,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1
cat_boca,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cat_bolet,,,,,1,,,,,1,1,1,1,,1,1,1,1,1,,,1,,1,1,1,1,1,1,1,,1,1,,1,1,,,,1,,,,,,,1,1,,1,,,,1,1,,1,1,1,1,1,1,,1,1,1,1,,1,1,,1,,,1,1,,1,1,,1,,,1,1,,1,1,,1,1,1,,,,1,,1,,,1,1,,1
cat_casa,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1
cat_colom,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,,1,,,1,,1,1,,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,,,,1
cat_cuc,,,,1,1,,,,1,1,1,1,1,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,1,,1,,,1,1,1,1,1,,1,,,,1,1,1,1,,,,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,,,1,1,,1,,1,1,1,,1,1,,1,1,1,1,,1,1,1,1,1,,1,1,,1
cat_caixa,1,,1,,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,1
cat_pernil,,,,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,1,1,1,,,,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1
cat_formiga,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,1,1,,1,1,1,1,,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1
cat_fulla,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1
cat_forquilla,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,,1
cat_galeta,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1
cat_got,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cat_galleda,1,,,,1,,1,,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,1,,,1,1,,1,,,1,1,1,1,,,1,,,,1,,,,1,1,,1,1,,1,1,1,,,1,1,,,1,,1,1,,1,1,,,,,1,,,1,1,1,1,1,1,1,,1,,1,,1,1,,1,,,,1,,1
cat_globus,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1
cat_mussol,,,1,1,1,1,,1,1,1,,1,1,,,1,1,1,1,,,1,1,1,,1,1,1,1,,1,1,1,1,,,1,,,1,,,1,,,1,1,1,,1,1,,,1,,,1,,,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,,,1,1,,,1,,1,1,,1,1,,1,1,1,,,1,1,,,1,,,1,,1
cat_moneda,,,,1,1,1,1,,,1,,,1,1,1,1,1,1,,1,,1,1,1,1,1,,1,1,1,,1,,1,,1,1,1,,1,1,,1,,,1,,1,1,1,1,,1,1,,,1,1,1,1,1,1,,1,,1,1,1,1,,1,1,,1,1,1,,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,,,,,,,,1
cat_ma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cat_mirall,1,,,,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1
cat_onada,,,,,1,,,,,1,,,1,,,1,,,,,,1,,1,,1,,1,1,,,1,,,,,1,,,,,,,,,,,1,1,,,,,1,,,1,,,1,1,1,,1,,1,,,1,,1,1,1,1,,,,,,,,1,,1,1,,,1,1,,1,1,1,,,,,,,,,,,1
cat_ull,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cat_ungla,,,,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,,1,,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,,,1
cat_orella,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cat_papallona,,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1
cat_planta,,,,,1,1,1,,1,1,,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,,,,1,,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,,1
cat_porta,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1
cat_porc,,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,,1,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,,1,,1,1,1,1,1,,1
cat_aigua1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
