SystemTimeStamp,meanX,meanY,meanValidity,lX,lY,lV,lPupil,lPupilV,rX,rY,rV,rPupil,rPupilV,participant,dateBirth,sex,dateTest,language,list,trial,trialID,trialType,getter,phase,stimulus,locationTarget
1.197536e+11,0.4896427,0.4549241,1,0.488476,0.4450949,1,2.978088,1,0.4908094,0.4647533,1,3.082748,1,005,2017-05-09,m,2019-09-10_18-22,spa,1,1,31,unrelated,7,prime,casa,center
1.197536e+11,0.4927845,0.4567646,1,0.4915669,0.4470383,1,2.998642,1,0.4940021,0.4664909,1,3.090775,1,005,2017-05-09,m,2019-09-10_18-22,spa,1,1,31,unrelated,7,prime,casa,center
1.197536e+11,0.4907716,0.4605858,1,0.4894475,0.4549738,1,2.983719,1,0.4920956,0.4661978,1,3.059494,1,005,2017-05-09,m,2019-09-10_18-22,spa,1,1,31,unrelated,7,prime,casa,center
1.197537e+11,0.4921668,0.4511658,1,0.4897845,0.4314493,1,2.916122,1,0.4945491,0.4708823,1,3.067245,1,005,2017-05-09,m,2019-09-10_18-22,spa,1,1,31,unrelated,7,prime,casa,center
1.197537e+11,0.4915763,0.4586263,1,0.4887873,0.4478911,1,2.959671,1,0.4943652,0.4693615,1,3.075226,1,005,2017-05-09,m,2019-09-10_18-22,spa,1,1,31,unrelated,7,prime,casa,center
1.197537e+11,0.4923221,0.4443937,1,0.4918533,0.4269465,1,2.904877,1,0.492791,0.4618409,1,3.035324,1,005,2017-05-09,m,2019-09-10_18-22,spa,1,1,31,unrelated,7,prime,casa,center
1.197537e+11,0.4937942,0.4515731,1,0.4936577,0.4455957,1,2.954468,1,0.4939308,0.4575504,1,3.042175,1,005,2017-05-09,m,2019-09-10_18-22,spa,1,1,31,unrelated,7,prime,casa,center
1.197537e+11,0.4891364,0.4511408,1,0.4882847,0.4436677,1,2.950333,1,0.4899882,0.458614,1,3.03093,1,005,2017-05-09,m,2019-09-10_18-22,spa,1,1,31,unrelated,7,prime,casa,center
1.197537e+11,0.4927829,0.4492343,1,0.4940121,0.4413404,1,2.92717,1,0.4915536,0.4571282,1,3.033249,1,005,2017-05-09,m,2019-09-10_18-22,spa,1,1,31,unrelated,7,prime,casa,center
1.197537e+11,0.4931743,0.4421317,1,0.4925017,0.4308519,1,2.908569,1,0.4938469,0.4534115,1,3.021454,1,005,2017-05-09,m,2019-09-10_18-22,spa,1,1,31,unrelated,7,prime,casa,center
1.197537e+11,0.4911219,0.4459156,1,0.4925561,0.4245629,1,2.863159,1,0.4896878,0.4672683,1,3.055939,1,005,2017-05-09,m,2019-09-10_18-22,spa,1,1,31,unrelated,7,prime,casa,center
1.197537e+11,0.4919164,0.4273236,1,0.4920821,0.4074789,1,2.827652,1,0.4917507,0.4471684,1,3.002579,1,005,2017-05-09,m,2019-09-10_18-22,spa,1,1,31,unrelated,7,prime,casa,center
1.197537e+11,0.4936197,0.451471,1,0.4933348,0.4447952,1,2.900528,1,0.4939046,0.4581469,1,3.046066,1,005,2017-05-09,m,2019-09-10_18-22,spa,1,1,31,unrelated,7,prime,casa,center
1.197537e+11,0.4909946,0.4426239,1,0.4896471,0.4366809,1,2.896057,1,0.4923421,0.4485668,1,3.012222,1,005,2017-05-09,m,2019-09-10_18-22,spa,1,1,31,unrelated,7,prime,casa,center
