SystemTimeStamp,meanX,meanY,meanValidity,lX,lY,lV,lPupil,lPupilV,rX,rY,rV,rPupil,rPupilV,participant,baby_id,dataBirth,sex,testDate,language,list,trialID,trial,trialType,getter,phase,stimulus,locationTarget
602453504,0.488149643,0.402879864,1,0.477492422,0.402343512,1,3.320175171,1,0.498806894,0.403416216,1,3.022506714,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453504,0.494158089,0.402191103,1,0.483176202,0.436470658,1,3.365859985,1,0.505140007,0.367911518,1,2.966201782,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453568,0.484935045,0.429442883,1,0.481447637,0.419186532,1,3.336257935,1,0.488422483,0.439699233,1,3.105560303,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453568,0.490229249,0.386747509,1,0.482434064,0.387704819,1,3.275192261,1,0.498024404,0.385790199,1,3.003509521,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453568,0.48135376,0.397571743,1,0.472631931,0.404260099,1,3.294342041,1,0.490075618,0.390883416,1,3.000930786,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453568,0.483741581,0.446648061,1,0.478001684,0.491063505,1,3.44442749,1,0.489481479,0.402232617,1,2.987106323,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453568,0.482382059,0.395481765,1,0.477117211,0.412058979,1,3.303451538,1,0.487646937,0.378904551,1,2.976196289,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453568,0.486355186,0.399296939,1,0.482033461,0.433507115,1,3.335083008,1,0.490676939,0.365086764,1,2.966796875,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453568,0.490001261,0.363189489,1,0.483485043,0.362524986,1,3.237945557,1,0.49651745,0.363853991,1,2.941177368,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453568,0.490059942,0.375052333,1,0.490567654,0.363178998,1,3.216583252,1,0.48955223,0.386925697,1,3.014938354,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453632,0.485550284,0.432882726,1,0.483300149,0.447454005,1,3.367782593,1,0.487800419,0.418311417,1,3.055999756,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453632,0.481463015,0.359309942,1,0.471508175,0.334620178,1,3.178924561,1,0.491417825,0.383999705,1,2.983795166,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453632,0.486287624,0.406490088,1,0.480687588,0.454684794,1,3.407623291,1,0.491887659,0.358295351,1,2.934036255,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453632,0.485885382,0.387953639,1,0.481838673,0.399603069,1,3.330490112,1,0.48993212,0.376304179,1,2.948165894,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453632,0.486415446,0.389443994,1,0.482602984,0.385378629,1,3.279525757,1,0.490227878,0.393509328,1,3.022766113,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453632,0.486656845,0.370139271,1,0.482013911,0.343165457,1,3.191696167,1,0.491299748,0.397113085,1,3.045318604,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453632,0.487369835,0.416664302,1,0.490867913,0.399937153,1,3.292938232,1,0.483871758,0.433391482,1,3.089172363,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453632,0.486091405,0.371184528,1,0.478209436,0.361704707,1,3.240692139,1,0.493973374,0.380664378,1,3.01272583,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453696,0.482024163,0.434141874,1,0.480534047,0.480041504,1,3.448898315,1,0.483514279,0.388242245,1,3.003723145,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453696,0.487427115,0.415117085,1,0.477557838,0.462252378,1,3.409515381,1,0.497296393,0.367981821,1,2.962661743,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453696,0.484922767,0.43581,1,0.474021345,0.451628596,1,3.374908447,1,0.495824218,0.419991404,1,3.051589966,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453696,0.483781368,0.37474823,1,0.479898185,0.381098866,1,3.304275513,1,0.487664551,0.368397593,1,2.937698364,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453696,0.477077931,0.398927331,1,0.474743128,0.402891159,1,3.289428711,1,0.479412735,0.394963473,1,3.037567139,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453696,0.487149954,0.377325207,1,0.481757581,0.414583743,1,3.316986084,1,0.492542297,0.340066671,1,2.893325806,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453696,0.480290532,0.435624272,1,0.481797487,0.452951878,1,3.396591187,1,0.478783548,0.418296665,1,3.094970703,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453696,0.484659195,0.418964148,1,0.480254829,0.45527193,1,3.402755737,1,0.489063591,0.382656366,1,3.003829956,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453760,0.489034832,0.435582519,1,0.482928246,0.478068918,1,3.437210083,1,0.495141447,0.393096149,1,3.012863159,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453760,0.486188769,0.434955537,1,0.480416447,0.479759961,1,3.449798584,1,0.491961092,0.390151113,1,3.015060425,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453760,0.488251626,0.432055414,1,0.490164965,0.361929625,1,3.243453979,1,0.486338258,0.502181232,1,3.275024414,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
