SystemTimeStamp,meanX,meanY,meanValidity,lX,lY,lV,lPupil,lPupilV,rX,rY,rV,rPupil,rPupilV,participant,dateBirth,sex,dateTest,language,list,trial,trialID,trialType,getter,phase,stimulus,locationTarget
5.685909e+10,0.4991348,0.5469369,1,0.5017359,0.5122715,1,2.837265,1,0.4965336,0.5816023,1,3.197006,1,016,2017-04-27,m,2019-10-05_12-54,spa,2,1,25,cognate,8,baseline,pez,center
5.68591e+10,0.4986921,0.5607079,1,0.5016798,0.5479797,1,2.90831,1,0.4957043,0.5734361,1,3.189484,1,016,2017-04-27,m,2019-10-05_12-54,spa,2,1,25,cognate,8,baseline,pez,center
5.68591e+10,0.4970682,0.5625479,1,0.5018612,0.5431088,1,2.908112,1,0.4922752,0.581987,1,3.210724,1,016,2017-04-27,m,2019-10-05_12-54,spa,2,1,25,cognate,8,baseline,pez,center
5.685911e+10,0.4977189,0.5655322,1,0.5022892,0.5647585,1,2.951096,1,0.4931486,0.5663059,1,3.181076,1,016,2017-04-27,m,2019-10-05_12-54,spa,2,1,25,cognate,8,baseline,pez,center
5.685912e+10,0.4983734,0.5625687,1,0.503342,0.5486938,1,2.923401,1,0.4934048,0.5764436,1,3.20575,1,016,2017-04-27,m,2019-10-05_12-54,spa,2,1,25,cognate,8,baseline,pez,center
5.685913e+10,0.4976549,0.5680249,1,0.5028329,0.5651552,1,2.971176,1,0.4924769,0.5708945,1,3.195251,1,016,2017-04-27,m,2019-10-05_12-54,spa,2,1,25,cognate,8,baseline,pez,center
5.685914e+10,0.4981033,0.5603806,1,0.5008851,0.5666083,1,2.971588,1,0.4953214,0.5541528,1,3.139236,1,016,2017-04-27,m,2019-10-05_12-54,spa,2,1,25,cognate,8,baseline,pez,center
5.685915e+10,0.4966527,0.5426217,1,0.502286,0.511842,1,2.806686,1,0.4910195,0.5734016,1,3.208603,1,016,2017-04-27,m,2019-10-05_12-54,spa,2,1,25,cognate,8,baseline,pez,center
5.685916e+10,0.4969857,0.5441997,1,0.5003468,0.5166056,1,2.83429,1,0.4936247,0.5717938,1,3.195679,1,016,2017-04-27,m,2019-10-05_12-54,spa,2,1,25,cognate,8,baseline,pez,center
5.685916e+10,0.4990208,0.5508326,1,0.5013341,0.5410843,1,2.899139,1,0.4967074,0.560581,1,3.15863,1,016,2017-04-27,m,2019-10-05_12-54,spa,2,1,25,cognate,8,baseline,pez,center
5.685917e+10,0.4967741,0.5671026,1,0.5012777,0.5613425,1,2.941452,1,0.4922706,0.5728627,1,3.191528,1,016,2017-04-27,m,2019-10-05_12-54,spa,2,1,25,cognate,8,baseline,pez,center
5.685918e+10,0.4963468,0.5615321,1,0.502952,0.5452293,1,2.894211,1,0.4897417,0.577835,1,3.209671,1,016,2017-04-27,m,2019-10-05_12-54,spa,2,1,25,cognate,8,baseline,pez,center
