"participant","id_db","date_test","lp","doe_catalan","doe_spanish","doe_others","age_group","test_language","list","version","filename"
"cognatepriming143","57902",2022-05-24,"Bilingual",0.54,0.46,0,"30 months","Catalan",2,"ll","CognatePriming_143_2022-05-24.csv"
"cognatepriming185","58724",2022-05-25,"Bilingual",0.72,0.28,0,"21 months","Spanish",3,"euro","CognatePriming_185_2022-05-25_1.csv"
"cognatepriming159","58262",2022-05-26,"Bilingual",0.64,0.36,0,"25 months","Catalan",2,"ll","CognatePriming_159_2022-05-26.csv"
"cognatepriming155","58000",2022-05-30,"Bilingual",0.71,0.29,0,"30 months","Spanish",2,"euro","CognatePriming_155_2022-05-30_3.csv"
"cognatepriming137","57725",2022-06-04,"Bilingual",0.72,0.28,0,"30 months","Catalan",2,"ll","CognatePriming_137_2022-06-04.csv"
"cognatepriming136","57885",2022-06-04,"Bilingual",0.46,0.54,0,"30 months","Catalan",2,"ll","CognatePriming_136_2022-06-04_2.csv"
"cognatepriming146","57919",2022-06-14,"Monolingual",0.88,0.12,0,"30 months","Catalan",3,"ll","CognatePriming_146_2022-06-14.csv"
"cognatepriming187","58547",2022-06-16,"Monolingual",0.92,0.08,0,"30 months","Catalan",2,"ll","CognatePriming_187_2022-06-16.csv"
"cognatepriming188","58308",2022-06-17,"Monolingual",0,1,0,"21 months","Spanish",3,"euro","CognatePriming_188_2022-06-17.csv"
"cognatepriming147","57908",2022-06-17,"Monolingual",0.86,0.14,0,"30 months","Catalan",2,"ll","CognatePriming_147_2022-06-17.csv"
"cognatepriming153","57943",2022-06-18,"Monolingual",0.08,0.92,0,"30 months","Spanish",1,"euro","CognatePriming_153_2022-06-18_1.csv"
"cognatepriming190","58361",2022-06-20,"Bilingual",0.29,0.71,0,"25 months","Catalan",1,"ll","CognatePriming_190_2022-06-20.csv"
"cognatepriming191","57805",2022-06-21,"Monolingual",0.13,0.87,0,"30 months","Spanish",2,"euro","CognatePriming_191_2022-06-21.csv"
"cognatepriming192","57788",2022-06-21,"Bilingual",0.52,0.48,0,"30 months","Catalan",3,"ll","CognatePriming_192_2022-06-21.csv"
