"participant","id_db","date_test","lp","doe_catalan","doe_spanish","doe_others","age_group","test_language","list","version","filename"
"cognatepriming79","57157",2021-05-17,"Monolingual",1,0,0,"25 months","Catalan",3,"ll","CognatePriming_079_2021-05-17_1.csv"
"cognatepriming114","57566",2021-05-19,"Monolingual",0.12,0.88,0,"21 months","Spanish",2,"euro","CognatePriming_114_2021-05-19.csv"
"cognatepriming115","57559",2021-05-22,"Monolingual",0.15,0.85,0,"21 months","Spanish",2,"euro","CognatePriming_115_2021-05-22.csv"
"cognatepriming75","56528",2021-05-26,"Monolingual",0.8,0.2,0,"30 months","Catalan",2,"ll","CognatePriming_075_2021-05-26.csv"
"cognatepriming116","57575",2021-05-27,"Monolingual",1,0,0,"21 months","Catalan",1,"ll","CognatePriming_116_2021-05-27.csv"
"cognatepriming117","57642",2021-05-27,"Bilingual",0.42,0.58,0,"21 months","Spanish",1,"euro","CognatePriming_117_2021-05-27.csv"
"cognatepriming118","57552",2021-05-29,"Monolingual",1,0,0,"21 months","Spanish",3,"euro","CognatePriming_118_2021-05-29.csv"
"cognatepriming119","57613",2021-06-01,"Monolingual",1,0,0,"21 months","Catalan",3,"ll","CognatePriming_119_2021-06-01.csv"
"cognatepriming120","57569",2021-06-08,"Bilingual",0.75,0.25,0,"21 months","Catalan",2,"ll","CognatePriming_120_2021-06-08_1.csv"
"cognatepriming92","57250",2021-06-08,"Monolingual",0.9,0.1,0,"25 months","Catalan",1,"ll","CognatePriming_092_2021-06-08.csv"
"cognatepriming121","57666",2021-06-08,"Monolingual",1,0,0,"21 months","Catalan",3,"ll","CognatePriming_121_2021-06-08.csv"
"cognatepriming100","57274",2021-06-14,"Bilingual",0.64,0.36,0,"25 months","Catalan",3,"ll","CognatePriming_100_2021-06-14.csv"
"cognatepriming91","57165",2021-06-18,"Monolingual",0.05,0.95,0,"25 months","Spanish",1,"euro","CognatePriming_091_2021-06-18.csv"
"cognatepriming122","58233",2021-06-19,"Bilingual",0.72,0.28,0,"21 months","Catalan",1,"i","CognatePriming_122_2021-06-19_1.csv"
"cognatepriming90","57427",2021-06-19,"Bilingual",0.62,0.38,0,"25 months","Catalan",1,"ll","CognatePriming_090_2021-06-19.csv"
"cognatepriming123","57597",2021-06-19,"Bilingual",0.43,0.57,0,"21 months","Spanish",3,"euro","CognatePriming_123_2021-06-19.csv"
"cognatepriming124","57707",2021-06-25,"Bilingual",0.21,0.79,0,"21 months","Spanish",2,"latin","CognatePriming_124_2021-06-25.csv"
"cognatepriming88","57222",2021-06-26,"Bilingual",0.42,0.58,0,"25 months","Spanish",3,"euro","CognatePriming_088_2021-06-26.csv"
"cognatepriming125","57660",2021-06-26,"Monolingual",1,0,0,"21 months","Catalan",2,"ll","CognatePriming_125_2021-06-26.csv"
"cognatepriming126","57595",2021-06-26,"Bilingual",0.33,0.67,0,"21 months","Spanish",1,"euro","CognatePriming_126_2021-06-26.csv"
"cognatepriming127","57670",2021-06-28,"Monolingual",0.14,0.86,0,"21 months","Spanish",2,"euro","CognatePriming_127_2021-06-28.csv"
"cognatepriming128","57742",2021-06-29,"Bilingual",0.74,0.24,0.02,"21 months","Spanish",3,"euro","CognatePriming_128_2021-06-29.csv"
"cognatepriming129","58049",2021-07-03,"Monolingual",1,0,0,"21 months","Catalan",3,"ll","CognatePriming_129_2021-07-03.csv"
"cognatepriming130","57658",2021-07-03,"Monolingual",0.11,0.89,0,"21 months","Spanish",1,"euro","CognatePriming_130_2021-07-03.csv"
"cognatepriming131","57709",2021-07-05,"Monolingual",0.13,0.87,0,"21 months","Spanish",2,"euro","CognatePriming_131_2021-07-05.csv"
"cognatepriming102","57839",2021-07-05,"Monolingual",1,0,0,"25 months","Catalan",1,"ll","CognatePriming_102_2021-07-05.csv"
"cognatepriming132","57710",2021-07-06,"Monolingual",0,1,0,"21 months","Spanish",3,"euro","CognatePriming_132_2021-07-06_1.csv"
"cognatepriming133","57684",2021-07-06,"Monolingual",0.98,0.02,0,"21 months","Catalan",2,"ll","CognatePriming_133_2021-07-06.csv"
"cognatepriming89","57241",2021-07-06,"Monolingual",0.97,0.03,0,"25 months","Catalan",3,"ll","CognatePriming_089_2021-07-06.csv"
"cognatepriming134","57592",2021-07-06,"Bilingual",0.5,0.5,0,"21 months","Spanish",1,"euro","CognatePriming_134_2021-07-06.csv"
"cognatepriming105","57293",2021-07-24,"Bilingual",0.57,0.43,0,"25 months","Catalan",2,"ll","CognatePriming_105_2021-07-24_1.csv"
"cognatepriming106","58347",2021-07-26,"Bilingual",0.27,0.73,0,"25 months","Spanish",1,"euro","CognatePriming_106_2021-07-26.csv"
"cognatepriming112","57537",2021-09-21,"Monolingual",1,0,0,"25 months","Catalan",2,"ll","CognatePriming_112_2021-09-21.csv"
"cognatepriming113","57534",2021-09-21,"Monolingual",0.99,0.01,0,"25 months","Catalan",1,"ll","CognatePriming_113_2021-09-21.csv"
"cognatepriming70","57059",2021-09-30,"Monolingual",0.04,0.96,0,"30 months","Spanish",3,"euro","CognatePriming_070_2021-09-30_1.csv"
"cognatepriming51","56911",2021-10-01,"Monolingual",0.93,0.07,0,"30 months","Catalan",1,"ll","CognatePriming_051_2021-10-01.csv"
"cognatepriming118","57552",2021-10-02,"Monolingual",1,0,0,"25 months","Catalan",3,"ll","CognatePriming_118_2021-10-02_6.csv"
"cognatepriming50","56937",2021-10-02,"Monolingual",0.99,0.01,0,"30 months","Catalan",2,"ll","CognatePriming_050_2021-10-02.csv"
"cognatepriming62","56995",2021-10-02,"Monolingual",0.98,0,0,"30 months","Catalan",1,"ll","CognatePriming_062_2021-10-02.csv"
"cognatepriming73","57062",2021-10-02,"Monolingual",0.01,0.95,0,"30 months","Spanish",2,"euro","CognatePriming_073_2021-10-02.csv"
"cognatepriming71","56984",2021-10-04,"Bilingual",0.74,0.26,0,"25 months","Catalan",1,"ll","CognatePriming_071_2021-10-04_1.csv"
"cognatepriming52","56876",2021-10-05,"Monolingual",0.93,0.07,0,"30 months","Catalan",2,"ll","CognatePriming_052_2021-10-05.csv"
"cognatepriming79","57157",2021-10-07,"Monolingual",1,0,0,"30 months","Catalan",3,"ll","CognatePriming_079_2021-10-07_1.csv"
"cognatepriming54","56985",2021-10-09,"Monolingual",0.11,0.89,0,"30 months","Spanish",1,"euro","CognatePriming_054_2021-10-09.csv"
"cognatepriming77","57139",2021-10-09,"Monolingual",1,0,0,"30 months","Catalan",2,"ll","CognatePriming_077_2021-10-09.csv"
"cognatepriming119","57613",2021-10-11,"Monolingual",1,0,0,"25 months","Catalan",3,"ll","CognatePriming_119_2021-10-11.csv"
"cognatepriming84","57177",2021-10-15,"Monolingual",1,0,0,"30 months","Catalan",1,"ll","CognatePriming_084_2021-10-15.csv"
"cognatepriming76","57436",2021-10-16,"Bilingual",0.53,0.47,0,"30 months","Spanish",1,"euro","CognatePriming_076_2021-10-16.csv"
"cognatepriming88","57222",2021-10-16,"Bilingual",0.42,0.58,0,"30 months","Spanish",3,"euro","CognatePriming_088_2021-10-16.csv"
