ParticipantID	TrialID	Start	End	FixNum
cognatepriming19	15	392.666666666667	633.333333333333	1
cognatepriming19	15	1351	1633.33333333333	2
cognatepriming19	15	1659.33333333333	1941.66666666667	3
cognatepriming19	28	617.666666666667	1058.33333333333	1
cognatepriming19	28	1084.33333333333	1225	2
cognatepriming19	28	1242.66666666667	1775	3
cognatepriming19	9	26	241.666666666667	1
cognatepriming19	9	284.333333333333	1191.66666666667	2
cognatepriming19	2	51	266.666666666667	1
cognatepriming19	2	1217.66666666667	1875	2
cognatepriming19	2	1884.33333333333	2000	3
cognatepriming19	30	951	1975	1
cognatepriming19	29	384.333333333333	658.333333333333	1
cognatepriming19	29	676	941.666666666667	2
cognatepriming19	29	959.333333333333	1375	3
cognatepriming19	16	17.6666666666667	333.333333333333	1
cognatepriming19	16	376	2000	2
cognatepriming19	4	392.666666666667	758.333333333333	1
cognatepriming19	4	784.333333333333	975	2
cognatepriming19	4	984.333333333333	1408.33333333333	3
cognatepriming19	4	1434.33333333333	1683.33333333333	4
cognatepriming19	4	1701	1808.33333333333	5
cognatepriming19	26	1	325	1
cognatepriming19	26	392.666666666667	741.666666666667	2
cognatepriming19	26	1467.66666666667	1933.33333333333	3
cognatepriming21	8	542.666666666667	791.666666666667	1
cognatepriming21	8	834.333333333333	1050	2
cognatepriming21	8	1076	1333.33333333333	3
cognatepriming21	8	1351	1550	4
cognatepriming21	6	734.333333333333	916.666666666667	1
cognatepriming21	6	959.333333333333	1933.33333333333	2
cognatepriming21	12	459.333333333333	808.333333333333	1
cognatepriming21	12	1151	1458.33333333333	2
cognatepriming21	12	1476	1716.66666666667	3
cognatepriming21	11	651	775	1
cognatepriming21	11	801	1033.33333333333	2
cognatepriming21	11	1059.33333333333	1266.66666666667	3
cognatepriming21	11	1284.33333333333	1600	4
cognatepriming21	11	1651	2000	5
cognatepriming21	9	626	758.333333333333	1
cognatepriming21	9	792.666666666667	1491.66666666667	2
cognatepriming21	9	1526	1650	3
cognatepriming21	13	651	1700	1
cognatepriming21	5	776	1016.66666666667	1
cognatepriming21	5	1034.33333333333	1583.33333333333	2
cognatepriming21	5	1601	2000	3
cognatepriming21	4	234.333333333333	391.666666666667	1
cognatepriming21	4	459.333333333333	675	2
cognatepriming21	4	734.333333333333	1316.66666666667	3
cognatepriming21	21	684.333333333333	825	1
cognatepriming21	21	851	1533.33333333333	2
cognatepriming21	21	1567.66666666667	1683.33333333333	3
cognatepriming23	13	1	366.666666666667	1
cognatepriming23	13	417.666666666667	550	2
cognatepriming23	13	642.666666666667	1166.66666666667	3
cognatepriming23	14	1	225	1
cognatepriming23	14	267.666666666667	475	2
cognatepriming23	14	517.666666666667	716.666666666667	3
cognatepriming23	14	734.333333333333	1091.66666666667	4
cognatepriming23	23	176	300	1
cognatepriming23	23	326	525	2
cognatepriming23	23	542.666666666667	758.333333333333	3
cognatepriming23	23	1684.33333333333	1866.66666666667	4
cognatepriming23	23	1884.33333333333	1991.66666666667	5
cognatepriming23	22	442.666666666667	891.666666666667	1
cognatepriming23	22	942.666666666667	1433.33333333333	2
cognatepriming23	28	392.666666666667	508.333333333333	1
cognatepriming23	28	526	733.333333333333	2
cognatepriming23	28	759.333333333333	1508.33333333333	3
cognatepriming23	28	1534.33333333333	1691.66666666667	4
cognatepriming23	12	1	333.333333333333	1
cognatepriming23	12	392.666666666667	608.333333333333	2
cognatepriming23	12	709.333333333333	908.333333333333	3
cognatepriming23	12	942.666666666667	1108.33333333333	4
cognatepriming23	26	192.666666666667	325	1
cognatepriming23	26	692.666666666667	908.333333333333	2
cognatepriming23	26	1209.33333333333	1983.33333333333	3
cognatepriming23	30	84.3333333333334	275	1
cognatepriming23	30	317.666666666667	558.333333333333	2
