"participant","age_group","lp","vocab_size_total","vocab_size_l1","vocab_size_conceptual","is_imputed"
"cognatepriming148","21 months","Monolingual",0.6819484240687679,0.5528455284552846,0.6485714285714286,true
"cognatepriming109","25 months","Bilingual",0.9134615384615384,0.9075144508670521,0.9381720430107527,true
"cognatepriming149","21 months","Bilingual",0.595536959553696,0.6416184971098265,0.7338709677419355,false
"cognatepriming150","21 months","Bilingual",0.18565400843881857,0.2032520325203252,0.23783783783783785,false
"cognatepriming151","25 months","Monolingual",0.5084507042253521,0.6932153392330384,0.706199460916442,false
"cognatepriming152","21 months","Bilingual",0.8952654232424677,0.9054441260744985,0.9228571428571428,false
"cognatepriming153","25 months","Monolingual",0.939521800281294,0.8112094395280236,0.8742857142857143,true
"cognatepriming154","25 months","Monolingual",0.8214783821478382,0.9248554913294798,0.9381720430107527,false
"cognatepriming155","25 months","Bilingual",0.7797695262483995,0.661849710982659,0.7493261455525606,true
"cognatepriming156","25 months","Bilingual",0.9134615384615384,0.8497109826589595,0.9029649595687331,true
"cognatepriming157","25 months","Monolingual",0.7266387726638772,0.7716763005780347,0.8548387096774194,false
"cognatepriming158","21 months","Bilingual",0.5971830985915493,0.555256064690027,0.6513513513513514,true
"cognatepriming131","30 months","Monolingual",0.7629009762900977,0.8598382749326146,0.8870967741935484,false
"cognatepriming124","30 months","Bilingual",0.7805907172995781,0.7831978319783198,0.8486486486486486,false
"cognatepriming112","30 months","Monolingual",0.7503486750348675,0.8208092485549133,0.8548387096774194,false
"cognatepriming134","30 months","Bilingual",0.9673495518565941,0.7341040462427746,0.8463611859838275,true
"cognatepriming118","30 months","Monolingual",0.9673495518565941,0.7543352601156069,0.8891891891891892,true
"cognatepriming129","30 months","Monolingual",0.4317862165963432,0.8567251461988304,0.7972972972972973,false
"cognatepriming121","30 months","Monolingual",0.8771929824561403,0.7254335260115607,0.8028571428571428,true
"cognatepriming107","30 months","Monolingual",0.90014064697609,0.9122807017543859,0.9378378378378378,false
"cognatepriming159","21 months","Bilingual",0.9134615384615384,0.8304597701149425,0.9021329987452948,true
"cognatepriming160","21 months","Bilingual",0.7130559540889526,0.7241379310344828,0.7714285714285715,false
"cognatepriming161","21 months","Bilingual",0.5991561181434599,0.672514619883041,0.7123655913978495,true
"cognatepriming162","25 months","Bilingual",0.4211267605633803,0.3834808259587021,0.42048517520215634,true
"cognatepriming163","25 months","Bilingual",0.32253521126760565,0.22514619883040934,0.28378378378378377,true
"cognatepriming164","21 months","Monolingual",0.6269727403156384,0.5644699140401146,0.7057142857142857,false
"cognatepriming165","21 months","Bilingual",0.6857962697274032,0.5363881401617251,0.6397849462365591,true
"cognatepriming166","21 months","Bilingual",0.7714468629961587,0.6676300578034682,0.7621621621621621,true
"cognatepriming167","21 months","Bilingual",0.7943661971830986,0.5528455284552846,0.6819484240687679,true
"cognatepriming168","25 months","Bilingual",0.9436619718309859,0.8495575221238938,0.9314285714285714,true
"cognatepriming169","25 months","Bilingual",0.23672883787661406,0.12427745664739884,0.23387096774193547,true
"cognatepriming170","25 months","Bilingual",0.10704225352112676,0.1293800539083558,0.14285714285714285,false
"cognatepriming117","30 months","Bilingual",0.9553695955369595,0.9450867052023122,0.967741935483871,false
"cognatepriming171","25 months","Monolingual",0.6628407460545194,0.5488505747126436,0.7857142857142857,false
"cognatepriming145","25 months","Bilingual",0.860832137733142,0.9137466307277629,0.9056603773584906,true
