"profile"	"language"	"ID"	"TimeBin"	"trialType"	"SamplesInAOI"	"SamplesTotal"	"Prop"	"Time"
"718"	"bilingual"	"spa"	"cognatepriming12"	39	"unrelated"	42	60	70	1950
"719"	"bilingual"	"spa"	"cognatepriming12"	39	"noncognate"	18	29	62.0689655172414	1950
"720"	"bilingual"	"spa"	"cognatepriming12"	39	"cognate"	12	23	52.1739130434783	1950
"721"	"monolingual"	"spa"	"cognatepriming5"	0	"unrelated"	16	16	100	0
"722"	"monolingual"	"spa"	"cognatepriming5"	0	"noncognate"	0	0	NA	0
"723"	"monolingual"	"spa"	"cognatepriming5"	0	"cognate"	6	12	50	0
"724"	"monolingual"	"spa"	"cognatepriming5"	1	"unrelated"	18	19	94.7368421052632	50
"725"	"monolingual"	"spa"	"cognatepriming5"	1	"noncognate"	0	0	NA	50
"726"	"monolingual"	"spa"	"cognatepriming5"	1	"cognate"	11	17	64.7058823529412	50
"727"	"monolingual"	"spa"	"cognatepriming5"	2	"unrelated"	23	30	76.6666666666667	100
"728"	"monolingual"	"spa"	"cognatepriming5"	2	"noncognate"	0	0	NA	100
"729"	"monolingual"	"spa"	"cognatepriming5"	2	"cognate"	12	18	66.6666666666667	100
"730"	"monolingual"	"spa"	"cognatepriming5"	3	"unrelated"	24	36	66.6666666666667	150
"731"	"monolingual"	"spa"	"cognatepriming5"	3	"noncognate"	6	9	66.6666666666667	150
"732"	"monolingual"	"spa"	"cognatepriming5"	3	"cognate"	15	21	71.4285714285714	150
"733"	"monolingual"	"spa"	"cognatepriming5"	4	"unrelated"	29	39	74.3589743589744	200
"734"	"monolingual"	"spa"	"cognatepriming5"	4	"noncognate"	6	18	33.3333333333333	200
"735"	"monolingual"	"spa"	"cognatepriming5"	4	"cognate"	18	24	75	200
"736"	"monolingual"	"spa"	"cognatepriming5"	5	"unrelated"	35	46	76.0869565217391	250
"737"	"monolingual"	"spa"	"cognatepriming5"	5	"noncognate"	6	18	33.3333333333333	250
"738"	"monolingual"	"spa"	"cognatepriming5"	5	"cognate"	18	24	75	250
"739"	"monolingual"	"spa"	"cognatepriming5"	6	"unrelated"	36	48	75	300
"740"	"monolingual"	"spa"	"cognatepriming5"	6	"noncognate"	6	18	33.3333333333333	300
"741"	"monolingual"	"spa"	"cognatepriming5"	6	"cognate"	18	27	66.6666666666667	300
