"ID"	"Trial"	"Samples"	"TracklossSamples"	"TracklossForTrial"	"TracklossForParticipant"
"1"	"cognatepriming1"	"1"	240	0	0	0.019206377967023
"2"	"cognatepriming1"	"2"	240	2	0.00833333333333333	0.019206377967023
"3"	"cognatepriming1"	"3"	240	12	0.05	0.019206377967023
"4"	"cognatepriming1"	"4"	240	0	0	0.019206377967023
"5"	"cognatepriming1"	"5"	240	1	0.00416666666666667	0.019206377967023
"6"	"cognatepriming1"	"6"	240	2	0.00833333333333333	0.019206377967023
"7"	"cognatepriming1"	"7"	240	0	0	0.019206377967023
"8"	"cognatepriming1"	"8"	240	21	0.0875	0.019206377967023
"9"	"cognatepriming1"	"9"	240	2	0.00833333333333333	0.019206377967023
"10"	"cognatepriming1"	"10"	240	5	0.0208333333333333	0.019206377967023
"11"	"cognatepriming1"	"11"	240	0	0	0.019206377967023
"12"	"cognatepriming1"	"12"	240	0	0	0.019206377967023
"13"	"cognatepriming1"	"13"	240	1	0.00416666666666667	0.019206377967023
"14"	"cognatepriming1"	"14"	239	4	0.0167364016736402	0.019206377967023
"15"	"cognatepriming1"	"15"	240	15	0.0625	0.019206377967023
"16"	"cognatepriming1"	"16"	240	2	0.00833333333333333	0.019206377967023
"17"	"cognatepriming1"	"17"	240	0	0	0.019206377967023
"18"	"cognatepriming1"	"18"	240	0	0	0.019206377967023
"19"	"cognatepriming1"	"19"	240	39	0.1625	0.019206377967023
"20"	"cognatepriming1"	"20"	240	0	0	0.019206377967023
"21"	"cognatepriming1"	"22"	240	0	0	0.019206377967023
"22"	"cognatepriming1"	"23"	240	0	0	0.019206377967023
"23"	"cognatepriming1"	"24"	240	0	0	0.019206377967023
"24"	"cognatepriming10"	"1"	240	0	0	0.00233061428333611
"25"	"cognatepriming10"	"2"	241	0	0	0.00233061428333611
"26"	"cognatepriming10"	"3"	240	0	0	0.00233061428333611
"27"	"cognatepriming10"	"4"	241	0	0	0.00233061428333611
"28"	"cognatepriming10"	"5"	240	0	0	0.00233061428333611
"29"	"cognatepriming10"	"6"	240	0	0	0.00233061428333611
"30"	"cognatepriming10"	"7"	240	0	0	0.00233061428333611
"31"	"cognatepriming10"	"8"	241	0	0	0.00233061428333611
"32"	"cognatepriming10"	"9"	241	0	0	0.00233061428333611
"33"	"cognatepriming10"	"11"	240	0	0	0.00233061428333611
"34"	"cognatepriming10"	"12"	241	3	0.012448132780083	0.00233061428333611
"35"	"cognatepriming10"	"13"	240	10	0.0416666666666667	0.00233061428333611
"36"	"cognatepriming10"	"15"	241	0	0	0.00233061428333611
"37"	"cognatepriming10"	"16"	240	0	0	0.00233061428333611
"38"	"cognatepriming10"	"17"	240	0	0	0.00233061428333611
"39"	"cognatepriming10"	"18"	240	0	0	0.00233061428333611
"40"	"cognatepriming10"	"19"	240	0	0	0.00233061428333611
"41"	"cognatepriming10"	"21"	240	0	0	0.00233061428333611
"42"	"cognatepriming10"	"22"	240	1	0.00416666666666667	0.00233061428333611
"43"	"cognatepriming10"	"23"	240	0	0	0.00233061428333611
"44"	"cognatepriming10"	"24"	240	0	0	0.00233061428333611
"45"	"cognatepriming10"	"25"	240	0	0	0.00233061428333611
"46"	"cognatepriming10"	"26"	240	0	0	0.00233061428333611
"47"	"cognatepriming10"	"29"	240	0	0	0.00233061428333611
"48"	"cognatepriming10"	"30"	241	0	0	0.00233061428333611
"49"	"cognatepriming11"	"1"	241	0	0	0.00256866231969966
"50"	"cognatepriming11"	"3"	241	0	0	0.00256866231969966
"51"	"cognatepriming11"	"4"	241	1	0.004149377593361	0.00256866231969966
"52"	"cognatepriming11"	"5"	241	0	0	0.00256866231969966
"53"	"cognatepriming11"	"6"	241	0	0	0.00256866231969966
"54"	"cognatepriming11"	"7"	241	0	0	0.00256866231969966
"55"	"cognatepriming11"	"8"	241	0	0	0.00256866231969966
"56"	"cognatepriming11"	"9"	241	0	0	0.00256866231969966
"57"	"cognatepriming11"	"14"	241	0	0	0.00256866231969966
"58"	"cognatepriming11"	"19"	241	1	0.004149377593361	0.00256866231969966
"59"	"cognatepriming11"	"21"	241	0	0	0.00256866231969966
"60"	"cognatepriming11"	"22"	241	1	0.004149377593361	0.00256866231969966
"61"	"cognatepriming11"	"23"	241	0	0	0.00256866231969966
"62"	"cognatepriming11"	"24"	241	0	0	0.00256866231969966
"63"	"cognatepriming11"	"25"	241	9	0.037344398340249	0.00256866231969966
"64"	"cognatepriming11"	"26"	241	0	0	0.00256866231969966
"65"	"cognatepriming11"	"27"	241	0	0	0.00256866231969966
"66"	"cognatepriming11"	"28"	241	0	0	0.00256866231969966
"67"	"cognatepriming11"	"30"	241	0	0	0.00256866231969966
"68"	"cognatepriming11"	"31"	241	0	0	0.00256866231969966
"69"	"cognatepriming11"	"32"	241	1	0.004149377593361	0.00256866231969966
"70"	"cognatepriming12"	"3"	240	9	0.0375	0.056554142919772
"71"	"cognatepriming12"	"4"	240	8	0.0333333333333333	0.056554142919772
"72"	"cognatepriming12"	"5"	240	23	0.0958333333333333	0.056554142919772
"73"	"cognatepriming12"	"6"	240	21	0.0875	0.056554142919772
"74"	"cognatepriming12"	"7"	240	6	0.025	0.056554142919772
"75"	"cognatepriming12"	"8"	240	3	0.0125	0.056554142919772
"76"	"cognatepriming12"	"10"	240	9	0.0375	0.056554142919772
"77"	"cognatepriming12"	"12"	240	0	0	0.056554142919772
"78"	"cognatepriming12"	"13"	241	56	0.232365145228216	0.056554142919772
"79"	"cognatepriming12"	"15"	240	23	0.0958333333333333	0.056554142919772
"80"	"cognatepriming12"	"18"	240	0	0	0.056554142919772
"81"	"cognatepriming12"	"19"	240	10	0.0416666666666667	0.056554142919772
